"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2024-09-16 01:43:00,1026.60,65.0,59.8,83,0,0,1028.15,61.8,55.6,80,,214
2024-09-16 01:48:00,1026.60,65.0,60.1,84,0,0,1028.23,61.8,55.6,80,,209
2024-09-16 01:53:00,1026.60,65.0,60.1,84,0,0,1028.23,61.8,55.6,80,,218
2024-09-16 01:58:00,1026.80,65.0,60.1,84,0,0,1028.23,61.8,55.6,80,,218
2024-09-16 02:13:00,1027.00,64.0,59.4,84,0,9,,,,,,
2024-09-16 02:28:00,1027.20,64.0,59.7,85,0,9,,,,,,
2024-09-16 02:43:00,1027.20,64.0,59.7,86,0,0,1028.55,61.4,58.8,91,,209
2024-09-16 02:48:00,1027.20,64.0,60.0,87,0,0,1028.59,61.4,58.8,91,,209
2024-09-16 02:53:00,1027.20,63.0,59.1,86,0,0,1028.59,61.4,56.8,84,,217
2024-09-16 02:58:00,1027.20,63.0,59.1,86,0,0,1028.59,61.4,56.8,84,,217
2024-09-16 03:13:00,1027.20,63.0,59.4,87,0,9,,,,,,
2024-09-16 03:28:00,1027.00,62.0,58.4,87,0,9,,,,,,
2024-09-16 03:43:00,1027.10,62.0,58.4,87,0,0,1028.37,58.7,55.5,89,,214
2024-09-16 03:48:00,1027.10,62.0,58.7,88,0,0,1028.84,58.7,55.5,89,,209
2024-09-16 03:53:00,1027.10,62.0,58.7,88,0,0,1028.84,58.7,55.5,89,,215
2024-09-16 03:58:00,1027.00,62.0,58.7,88,0,0,1028.49,58.7,55.5,89,,215
2024-09-16 04:13:00,1027.00,61.0,57.7,88,0,9,,,,,,
2024-09-16 04:28:00,1027.00,61.0,57.7,88,0,9,,,,,,
2024-09-16 04:43:00,1026.90,60.0,56.7,88,0,0,1028.29,58.1,56.6,94,,214
2024-09-16 04:48:00,1026.90,60.0,56.7,88,0,0,1028.37,58.1,56.6,94,,214
2024-09-16 04:53:00,1026.90,60.0,56.7,88,0,0,1028.37,58.1,52.5,81,,217
2024-09-16 04:58:00,1027.00,60.0,57.0,89,0,0,1028.75,58.1,52.5,81,,219
2024-09-16 05:13:00,1027.10,60.0,56.7,88,0,9,,,,,,
2024-09-16 05:28:00,1027.20,59.0,56.1,90,0,9,,,,,,
2024-09-16 05:43:00,1027.20,59.0,56.0,89,0,0,1028.37,56.4,55.4,96,,214
2024-09-16 05:48:00,1027.20,59.0,56.0,89,0,0,1028.88,56.4,55.4,96,,214
2024-09-16 05:53:00,1027.20,59.0,56.0,89,0,0,1028.85,56.4,55.4,96,,217
2024-09-16 05:58:00,1027.00,59.0,56.0,89,0,0,1028.48,56.4,55.4,96,,219
2024-09-16 06:13:00,1027.10,58.0,55.1,89,0,9,,,,,,
2024-09-16 06:28:00,1027.10,58.0,55.4,90,0,9,,,,,,
2024-09-16 06:43:00,1026.80,58.0,55.4,90,0,0,1028.00,55.2,54.8,98,,214
2024-09-16 06:48:00,1026.80,58.0,55.4,90,0,0,1028.47,55.2,54.8,98,,214
2024-09-16 06:53:00,1026.80,58.0,55.4,90,0,0,1028.46,55.2,54.8,98,,217
2024-09-16 06:58:00,1026.70,57.0,54.4,90,0,0,1028.48,55.2,54.8,98,,219
2024-09-16 07:13:00,1026.80,57.0,54.4,91,0,9,,,,,,
2024-09-16 07:28:00,1026.90,57.0,54.4,91,0,9,,,,,,
2024-09-16 07:43:00,1027.10,57.0,54.4,90,0,0,1028.17,54.5,51.6,90,,214
2024-09-16 07:48:00,1027.10,56.0,53.7,91,0,0,1028.63,54.5,54.2,99,,209
2024-09-16 07:53:00,1027.10,56.0,53.7,91,0,0,1028.62,54.5,54.2,99,,217
2024-09-16 07:58:00,1027.10,56.0,53.7,91,0,0,1028.64,54.5,54.2,99,,217
2024-09-16 08:13:00,1027.00,56.0,53.7,92,0,9,,,,,,
2024-09-16 08:28:00,1027.00,56.0,53.7,92,0,9,,,,,,
2024-09-16 08:43:00,1027.10,56.0,54.0,92,0,0,1028.17,53.6,50.7,90,,214
2024-09-16 08:48:00,1027.10,56.0,54.0,92,0,0,1028.61,53.6,53.2,98,,209
2024-09-16 08:53:00,1027.10,56.0,54.0,92,0,0,1028.61,53.6,53.2,98,,217
2024-09-16 08:58:00,1027.20,56.0,54.0,92,0,0,1028.61,53.6,53.2,98,,217
2024-09-16 09:13:00,1027.20,56.0,54.0,92,0,9,,,,,,
2024-09-16 09:28:00,1027.20,56.0,54.3,94,0,9,,,,,,
2024-09-16 09:43:00,1027.20,56.0,54.3,93,0,0,1028.46,53.1,52.8,98,,214
2024-09-16 09:48:00,1027.20,56.0,54.3,93,0,0,1028.95,53.1,52.8,98,,209
2024-09-16 09:53:00,1027.20,56.0,54.3,93,0,0,1028.93,53.1,52.8,98,,217
2024-09-16 09:58:00,1027.20,56.0,54.3,93,0,0,1028.90,53.1,52.8,99,,217
2024-09-16 10:13:00,1027.20,56.0,54.3,94,0,9,,,,,,
2024-09-16 10:28:00,1027.50,55.0,53.3,93,0,9,,,,,,
2024-09-16 10:43:00,1027.60,55.0,53.3,93,0,0,1028.76,52.5,53.3,100,,214
2024-09-16 10:48:00,1027.60,55.0,53.3,93,0,0,1029.22,52.5,53.3,100,,209
