"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2024-09-15 19:30:00,1026.00,81.0,59.4,47,0,,,,,,,
2024-09-15 19:40:00,1025.90,80.0,57.9,46,0,,,,,,,
2024-09-15 20:00:00,1025.90,79.0,58.8,50,0,,,,,,,
2024-09-15 20:15:00,1025.60,79.0,58.2,48,0,,,,,,,
2024-09-15 20:30:00,1025.50,79.0,58.8,50,0,,,,,,,
2024-09-15 20:45:00,1025.50,79.0,59.3,50,0,,,,,,,
2024-09-15 21:00:00,1025.60,78.0,59.5,52,0,,,,,,,
2024-09-15 21:15:00,1025.60,78.0,58.4,50,0,,,,,,,
2024-09-15 21:30:00,1025.60,78.0,58.4,50,0,,,,,,,
2024-09-15 21:45:00,1025.70,77.0,58.0,52,0,,,,,,,
2024-09-15 22:00:00,1025.60,77.0,59.1,53,0,,,,,,,
2024-09-15 22:15:00,1025.60,77.0,59.1,53,0,,,,,,,
2024-09-15 22:30:00,1025.50,76.0,58.6,55,0,,,,,,,
2024-09-15 22:45:00,1025.60,75.0,57.7,55,0,,,,,,,
2024-09-15 23:00:00,1025.50,74.0,57.3,55,0,,,,,,,
2024-09-15 23:15:00,1025.50,73.0,57.8,58,0,,,,,,,
2024-09-15 23:30:00,1025.70,71.0,56.9,60,0,,,,,,,
2024-09-15 23:45:00,1025.80,70.0,56.8,62,0,,,,,,,
2024-09-16 00:15:00,1026.30,68.0,57.8,69,0,,,,,,,
2024-09-16 00:30:00,1026.30,67.0,57.3,71,0,,,,,,,
2024-09-16 00:40:00,1026.50,67.0,57.8,72,,,1027.53,65.5,58.6,78,,
2024-09-16 00:45:00,1026.40,66.0,56.9,72,,,1027.53,65.5,58.6,78,,
2024-09-16 00:50:00,1026.60,66.0,56.9,72,,,1027.53,65.5,58.6,78,,
2024-09-16 00:55:00,1026.60,66.0,56.9,72,,,1027.53,65.5,58.6,78,,
2024-09-16 01:00:00,1026.60,66.0,56.7,72,0,,,,,,,
2024-09-16 01:15:00,1026.60,65.0,55.4,70,0,,,,,,,
2024-09-16 01:30:00,1026.80,65.0,55.0,69,0,,,,,,,
2024-09-16 01:40:00,1026.90,64.0,54.2,70,,,1028.11,62.9,56.8,80,,
2024-09-16 01:45:00,1027.00,64.0,54.2,70,,,1028.11,62.9,56.8,80,,
2024-09-16 01:50:00,1026.90,64.0,54.2,70,,,1028.02,62.9,56.8,80,,
2024-09-16 01:55:00,1026.90,64.0,54.2,70,,,1028.02,62.9,56.8,80,,
2024-09-16 02:00:00,1027.00,63.0,52.7,68,0,,,,,,,
2024-09-16 02:15:00,1027.00,63.0,53.1,70,0,,,,,,,
2024-09-16 02:30:00,1027.00,62.0,52.1,70,0,,,,,,,
2024-09-16 02:40:00,1026.90,61.0,51.7,71,,,1027.98,59.2,56.3,90,,
2024-09-16 02:45:00,1027.00,61.0,51.7,71,,,1027.98,59.2,56.3,90,,
2024-09-16 02:50:00,1026.90,61.0,52.0,72,,,1027.98,59.2,56.3,90,,
2024-09-16 02:55:00,1026.90,61.0,52.4,73,,,1027.98,59.2,56.3,90,,
2024-09-16 03:00:00,1026.90,61.0,52.6,74,0,,,,,,,
2024-09-16 03:15:00,1026.80,60.0,51.3,73,0,,,,,,,
2024-09-16 03:30:00,1026.90,59.0,50.4,72,0,,,,,,,
2024-09-16 03:40:00,1027.00,59.0,50.5,73,,,1027.86,56.7,55.3,95,,
2024-09-16 03:45:00,1027.00,59.0,50.5,73,,,1027.86,56.7,55.3,95,,
2024-09-16 03:50:00,1026.90,58.0,49.5,73,,,1027.86,56.7,55.3,95,,
2024-09-16 03:55:00,1026.90,58.0,49.5,73,,,1027.86,56.7,55.3,95,,
2024-09-16 04:00:00,1026.80,58.0,49.4,72,0,,,,,,,
2024-09-16 04:15:00,1026.80,57.0,48.8,73,0,,,,,,,
2024-09-16 04:30:00,1026.50,57.0,48.8,73,0,,,,,,,
2024-09-16 04:40:00,1026.60,56.0,47.9,74,,,1027.72,54.5,53.7,97,,
2024-09-16 04:45:00,1026.70,56.0,47.9,74,,,1027.72,54.5,53.7,97,,
2024-09-16 04:50:00,1026.70,56.0,47.9,74,,,1027.72,54.5,53.7,97,,
2024-09-16 04:55:00,1026.80,56.0,47.9,74,,,1027.72,54.5,53.7,97,,
2024-09-16 05:00:00,1026.80,56.0,47.8,74,0,,,,,,,
2024-09-16 05:15:00,1027.00,55.0,46.9,74,0,,,,,,,
2024-09-16 05:30:00,1027.00,55.0,47.2,74,0,,,,,,,
2024-09-16 05:40:00,1027.00,55.0,47.3,75,,,1027.87,53.3,53.1,99,,
2024-09-16 05:45:00,1027.00,55.0,47.3,75,,,1027.87,53.3,53.1,99,,
2024-09-16 05:46:00,1027.00,55.0,47.2,74,0,,,,,,,
2024-09-16 05:50:00,1027.00,54.0,46.3,75,,,1027.87,53.3,53.1,99,,
2024-09-16 05:55:00,1026.90,54.0,46.3,75,,,1027.87,53.3,53.1,99,,
2024-09-16 06:00:00,1026.90,54.0,46.6,76,0,,,,,,,
2024-09-16 06:10:00,1026.90,54.0,46.6,76,0,,,,,,,
2024-09-16 06:25:00,1026.80,54.0,46.6,76,0,,,,,,,
2024-09-16 06:40:00,1026.80,53.0,45.7,76,,,1027.73,52.3,52.1,99,,
2024-09-16 06:45:00,1026.70,53.0,45.7,76,,,1027.73,52.3,52.1,99,,
2024-09-16 06:50:00,1026.70,53.0,45.7,76,,,1027.73,52.3,52.1,99,,
2024-09-16 06:55:00,1026.70,53.0,45.7,76,,,1027.73,52.3,52.1,99,,
2024-09-16 07:01:00,1026.80,53.0,45.6,76,0,,,,,,,
2024-09-16 07:15:00,1026.70,53.0,46.0,76,0,,,,,,,
2024-09-16 07:26:00,1026.80,52.0,45.0,77,0,,,,,,,
2024-09-16 07:40:00,1026.70,52.0,45.1,77,,,1027.64,51.2,51.1,99,,
2024-09-16 07:45:00,1026.70,52.0,45.1,77,,,1027.64,51.2,51.1,99,,
2024-09-16 07:50:00,1026.70,52.0,45.1,77,,,1027.64,51.2,51.1,99,,
2024-09-16 07:55:00,1026.70,52.0,45.1,77,,,1027.64,51.2,51.1,99,,
2024-09-16 08:00:00,1026.70,52.0,45.0,77,0,,,,,,,
2024-09-16 08:15:00,1026.70,51.0,44.4,77,0,,,,,,,
2024-09-16 08:30:00,1026.80,51.0,44.4,77,0,,,,,,,
2024-09-16 08:40:00,1026.70,51.0,44.4,78,,,1027.72,50.7,50.5,99,,
2024-09-16 08:45:00,1026.70,51.0,44.4,78,,,1027.69,50.7,50.5,99,,
2024-09-16 08:50:00,1026.60,51.0,44.4,78,,,1027.69,50.7,50.5,99,,
2024-09-16 08:55:00,1026.70,50.0,43.5,78,,,1027.69,50.7,49.9,97,,
2024-09-16 09:00:00,1026.70,50.0,43.4,77,0,,,,,,,
2024-09-16 09:15:00,1026.70,50.0,43.4,77,0,,,,,,,
2024-09-16 09:30:00,1026.70,50.0,43.4,77,0,,,,,,,
2024-09-16 09:40:00,1026.70,50.0,43.5,78,,,1027.68,50.0,49.9,99,,
2024-09-16 09:45:00,1026.70,50.0,43.8,79,,,1027.68,50.0,49.9,99,,
2024-09-16 09:50:00,1026.70,49.0,42.8,79,,,1027.68,50.0,49.3,97,,
2024-09-16 09:55:00,1026.80,49.0,42.8,79,,,1027.68,50.0,49.3,97,,
2024-09-16 10:00:00,1026.80,49.0,42.8,78,0,,,,,,,
2024-09-16 10:15:00,1026.90,49.0,42.8,78,0,,,,,,,
2024-09-16 10:25:00,1027.00,49.0,42.8,78,0,,,,,,,
2024-09-16 10:40:00,1027.10,49.0,42.8,79,,,1028.10,50.1,49.7,98,,
2024-09-16 10:45:00,1027.30,49.0,42.8,78,0,,,,,,,
2024-09-16 10:50:00,1027.30,48.0,41.8,79,,,1028.10,50.1,49.2,96,,
2024-09-16 10:55:00,1027.30,48.0,41.8,79,,,1028.10,50.1,49.2,96,,
2024-09-16 11:00:00,1027.40,48.0,41.8,78,0,,,,,,,
2024-09-16 11:15:00,1027.40,48.0,41.8,78,0,,,,,,,
2024-09-16 11:30:00,1027.50,48.0,42.1,80,0,,,,,,,
2024-09-16 11:40:00,1027.60,49.0,43.5,81,,,1028.36,53.8,52.3,94,,
2024-09-16 11:45:00,1027.60,49.0,43.5,81,,,1028.36,53.8,52.3,94,,
2024-09-16 11:50:00,1027.60,49.0,43.5,81,,,1028.36,53.8,52.3,94,,
2024-09-16 11:55:00,1027.50,49.0,43.5,81,,,1028.36,53.8,52.3,94,,
2024-09-16 12:00:00,1027.50,50.0,44.7,81,0,,,,,,,
2024-09-16 12:15:00,1027.40,51.0,46.0,82,0,,,,,,,
2024-09-16 12:30:00,1027.60,53.0,48.3,83,0,,,,,,,
2024-09-16 12:40:00,1027.70,54.0,49.3,83,,,1028.37,58.2,54.8,88,,
2024-09-16 12:45:00,1027.70,55.0,50.3,83,,,1028.37,58.2,54.8,88,,
2024-09-16 12:50:00,1027.60,55.0,50.3,83,,,1028.37,58.2,54.8,88,,
2024-09-16 12:55:00,1027.60,55.0,50.3,83,,,1028.41,58.2,54.8,88,,
2024-09-16 13:00:00,1027.60,56.0,51.2,83,0,,,,,,,
2024-09-16 13:15:00,1027.50,58.0,53.5,84,0,,,,,,,
2024-09-16 13:30:00,1027.60,61.0,56.5,84,0,,,,,,,
2024-09-16 13:45:00,1027.40,62.0,57.1,84,0,,,,,,,
2024-09-16 14:00:00,1027.30,63.0,56.4,79,0,,,,,,,
2024-09-16 14:10:00,1027.40,65.0,55.4,70,0,,,,,,,
2024-09-16 14:25:00,1027.30,68.0,55.4,64,0,,,,,,,
2024-09-16 14:45:00,1027.20,71.0,55.0,57,0,,,,,,,
2024-09-16 15:00:00,1027.10,73.0,55.9,54,0,,,,,,,
2024-09-16 15:15:00,1027.10,74.0,56.3,53,0,,,,,,,
2024-09-16 15:30:00,1026.80,75.0,56.2,51,0,,,,,,,
2024-09-16 15:45:00,1026.60,76.0,57.1,51,0,,,,,,,
2024-09-16 16:00:00,1026.50,77.0,56.4,48,0,,,,,,,
2024-09-16 16:15:00,1026.20,78.0,55.5,45,0,,,,,,,
2024-09-16 16:30:00,1026.10,79.0,54.6,43,0,,,,,,,
2024-09-16 16:45:00,1026.10,79.0,54.6,43,0,,,,,,,
2024-09-16 17:00:00,1025.90,80.0,53.5,39,0,,,,,,,
2024-09-16 17:15:00,1025.60,81.0,53.0,37,0,,,,,,,
2024-09-16 17:30:00,1025.40,82.0,51.6,35,0,,,,,,,
2024-09-16 17:45:00,1025.20,82.0,50.0,33,0,,,,,,,
2024-09-16 18:00:00,1024.90,83.0,47.4,29,0,,,,,,,
2024-09-16 18:10:00,1024.80,84.0,50.1,30,0,,,,,,,
2024-09-16 18:30:00,1024.50,84.0,51.8,32,0,,,,,,,
2024-09-16 18:40:00,1024.40,83.0,48.3,29,0,,,,,,,
2024-09-16 19:00:00,1024.10,83.0,48.3,29,0,,,,,,,
2024-09-16 19:15:00,1024.00,84.0,49.2,29,0,,,,,,,
2024-09-16 19:31:00,1023.80,84.0,50.9,32,0,,,,,,,
2024-09-16 19:45:00,1023.70,82.0,49.2,31,0,,,,,,,
2024-09-16 20:00:00,1023.70,81.0,50.0,33,0,,,,,,,
2024-09-16 20:15:00,1023.60,80.0,49.1,34,0,,,,,,,
2024-09-16 20:30:00,1023.50,79.0,50.5,36,0,,,,,,,
2024-09-16 20:45:00,1023.60,79.0,51.9,38,0,,,,,,,
2024-09-16 21:00:00,1023.50,78.0,50.3,37,0,,,,,,,
2024-09-16 21:15:00,1023.50,78.0,52.4,40,0,,,,,,,
2024-09-16 21:30:00,1023.50,77.0,53.4,44,0,,,,,,,
2024-09-16 21:45:00,1023.40,77.0,55.2,46,0,,,,,,,
2024-09-16 22:00:00,1023.40,77.0,54.6,45,0,,,,,,,
2024-09-16 22:15:00,1023.50,76.0,53.7,46,0,,,,,,,
2024-09-16 22:30:00,1023.50,75.0,54.5,49,0,,,,,,,
2024-09-16 22:45:00,1023.50,74.0,55.2,51,0,,,,,,,
2024-09-16 23:00:00,1023.60,73.0,55.4,54,0,,,,,,,
2024-09-16 23:15:00,1023.50,71.0,55.0,57,0,,,,,,,
2024-09-16 23:30:00,1023.60,69.0,54.1,58,0,,,,,,,
2024-09-16 23:45:00,1023.70,68.0,54.0,61,0,,,,,,,
2024-09-17 00:15:00,1024.00,65.0,52.5,64,0,,,,,,,
2024-09-17 00:30:00,1024.00,64.0,52.0,64,0,,,,,,,
2024-09-17 00:40:00,1024.10,63.0,51.6,66,,,1025.25,61.8,55.3,79,,
2024-09-17 00:45:00,1024.10,63.0,52.0,67,,,1025.25,61.8,55.3,79,,
2024-09-17 00:50:00,1024.30,63.0,52.0,67,,,1025.25,61.8,55.3,79,,
2024-09-17 00:55:00,1024.30,62.0,51.1,67,,,1025.25,61.7,55.3,79,,
2024-09-17 01:00:00,1024.30,62.0,51.3,67,0,,,,,,,
2024-09-17 01:15:00,1024.30,62.0,51.7,69,0,,,,,,,
2024-09-17 01:30:00,1024.40,61.0,51.5,71,0,,,,,,,
2024-09-17 01:40:00,1024.50,61.0,51.7,71,,,1025.56,59.9,56.3,87,,
2024-09-17 01:45:00,1024.50,60.0,50.2,69,0,,,,,,,
2024-09-17 01:50:00,1024.50,60.0,50.3,70,,,1025.54,59.9,56.3,87,,
2024-09-17 01:55:00,1024.60,60.0,50.3,70,,,1025.48,59.9,56.3,87,,
2024-09-17 02:00:00,1024.50,60.0,50.2,69,0,,,,,,,
2024-09-17 02:15:00,1024.60,59.0,49.2,70,0,,,,,,,
2024-09-17 02:30:00,1024.60,59.0,49.2,70,0,,,,,,,
2024-09-17 02:40:00,1024.50,58.0,48.8,71,,,1025.37,56.9,55.6,95,,
2024-09-17 02:45:00,1024.60,58.0,48.8,71,,,1025.37,56.9,55.6,95,,
2024-09-17 02:50:00,1024.50,58.0,49.9,74,,,1025.37,56.9,55.6,95,,
2024-09-17 02:55:00,1024.50,58.0,49.9,74,,,1025.37,56.9,55.6,95,,
2024-09-17 03:00:00,1024.40,58.0,49.8,74,0,,,,,,,
2024-09-17 03:15:00,1024.50,57.0,48.8,73,0,,,,,,,
2024-09-17 03:30:00,1024.40,57.0,48.4,72,0,,,,,,,
2024-09-17 03:40:00,1024.40,56.0,47.9,74,,,1025.28,55.9,54.5,95,,
2024-09-17 03:45:00,1024.40,56.0,47.9,74,,,1025.32,55.9,54.5,95,,
2024-09-17 03:50:00,1024.50,56.0,47.9,74,,,1025.32,55.9,54.5,95,,
2024-09-17 03:55:00,1024.40,56.0,47.9,74,,,1025.32,55.9,54.5,95,,
2024-09-17 04:00:00,1024.40,56.0,47.8,74,0,,,,,,,
2024-09-17 04:15:00,1024.40,55.0,46.9,74,0,,,,,,,
2024-09-17 04:30:00,1024.30,55.0,46.9,74,0,,,,,,,
2024-09-17 04:40:00,1024.30,55.0,47.0,74,,,1025.19,54.4,53.6,97,,
2024-09-17 04:45:00,1024.30,55.0,47.3,75,,,1025.19,54.4,53.6,97,,
2024-09-17 04:50:00,1024.20,54.0,46.3,75,,,1025.19,54.4,53.6,97,,
2024-09-17 04:55:00,1024.30,54.0,46.3,75,,,1025.19,54.4,53.6,97,,
2024-09-17 05:00:00,1024.20,54.0,46.3,75,0,,,,,,,
2024-09-17 05:15:00,1024.40,54.0,46.3,75,0,,,,,,,
2024-09-17 05:30:00,1024.30,53.0,45.6,76,0,,,,,,,
2024-09-17 05:40:00,1024.30,53.0,45.7,76,,,1025.11,53.1,52.7,98,,
2024-09-17 05:45:00,1024.20,53.0,45.7,76,,,1025.11,53.1,52.7,98,,
2024-09-17 05:50:00,1024.30,53.0,45.7,76,,,1025.11,53.1,52.7,98,,
2024-09-17 05:55:00,1024.30,53.0,45.7,76,,,1025.11,53.1,52.7,98,,
2024-09-17 06:00:00,1024.30,53.0,45.6,76,0,,,,,,,
2024-09-17 06:15:00,1024.30,53.0,45.6,76,0,,,,,,,
2024-09-17 06:30:00,1024.10,52.0,45.4,77,0,,,,,,,
2024-09-17 06:40:00,1024.10,52.0,45.4,78,,,1024.99,53.5,52.8,97,,
2024-09-17 06:45:00,1024.10,52.0,45.4,78,,,1024.99,53.5,52.8,97,,
2024-09-17 06:46:00,1024.10,52.0,45.4,77,0,,,,,,,
2024-09-17 06:50:00,1024.00,52.0,45.4,78,,,1024.99,53.5,52.8,97,,
2024-09-17 06:55:00,1024.00,52.0,45.4,78,,,1024.99,53.5,52.8,97,,
2024-09-17 07:00:00,1024.00,52.0,45.4,77,0,,,,,,,
2024-09-17 07:10:00,1024.00,52.0,45.4,77,0,,,,,,,
2024-09-17 07:30:00,1023.90,51.0,44.4,77,0,,,,,,,
2024-09-17 07:40:00,1023.90,52.0,45.7,79,,,1024.78,53.6,53.2,98,,
2024-09-17 07:45:00,1023.90,52.0,45.7,79,,,1024.78,53.6,53.2,98,,
2024-09-17 07:46:00,1023.90,52.0,45.7,78,0,,,,,,,
2024-09-17 07:50:00,1023.80,52.0,45.7,79,,,1024.78,53.6,53.2,98,,
2024-09-17 07:55:00,1023.90,52.0,46.1,80,,,1024.78,53.6,53.2,98,,
2024-09-17 08:00:00,1023.80,52.0,46.0,79,0,,,,,,,
2024-09-17 08:15:00,1023.80,53.0,47.3,81,0,,,,,,,
2024-09-17 08:30:00,1023.90,53.0,47.3,81,0,,,,,,,
2024-09-17 08:40:00,1023.80,53.0,47.4,81,,,1024.67,54.7,54.2,98,,
2024-09-17 08:45:00,1023.90,53.0,47.7,82,,,1024.67,54.7,54.2,98,,
2024-09-17 08:50:00,1023.80,53.0,47.4,81,,,1024.67,54.7,54.2,98,,
2024-09-17 08:55:00,1023.70,53.0,47.4,81,,,1024.67,54.7,54.2,98,,
2024-09-17 09:00:00,1023.80,53.0,47.6,81,0,,,,,,,
2024-09-17 09:15:00,1023.90,54.0,48.6,82,0,,,,,,,
2024-09-17 09:31:00,1023.80,54.0,48.6,82,0,,,,,,,
2024-09-17 09:40:00,1023.90,55.0,50.0,83,,,1024.73,55.0,54.8,99,,
2024-09-17 09:45:00,1023.80,55.0,50.0,83,,,1024.73,55.0,54.8,99,,
2024-09-17 09:50:00,1023.80,55.0,50.0,83,,,1024.73,55.0,54.8,99,,
2024-09-17 09:55:00,1023.80,55.0,50.0,83,,,1024.73,55.0,54.8,99,,
2024-09-17 10:16:00,1023.80,55.0,49.9,82,0,,,,,,,
2024-09-17 10:31:00,1023.80,56.0,50.9,83,0,,,,,,,
2024-09-17 10:40:00,1023.90,56.0,50.9,83,,,1024.94,54.0,54.0,99,,
2024-09-17 10:45:00,1024.00,56.0,50.9,83,,,1024.90,54.2,54.0,99,,
2024-09-17 10:50:00,1024.00,56.0,50.9,83,,,1024.90,54.2,54.0,99,,
2024-09-17 10:55:00,1024.00,56.0,50.9,83,,,1024.90,54.1,54.0,99,,
2024-09-17 11:00:00,1024.00,56.0,50.9,83,0,,,,,,,
2024-09-17 11:15:00,1024.20,56.0,50.9,83,0,,,,,,,
2024-09-17 11:30:00,1024.30,56.0,51.2,83,0,,,,,,,
2024-09-17 11:40:00,1024.30,56.0,51.2,83,,,1025.15,54.4,54.4,100,,
2024-09-17 11:45:00,1024.30,56.0,51.2,83,,,1025.15,54.4,54.4,100,,
2024-09-17 11:50:00,1024.30,56.0,51.2,83,,,1025.15,54.4,54.4,100,,
2024-09-17 11:55:00,1024.30,56.0,51.2,83,,,1025.15,54.4,54.4,100,,
2024-09-17 12:15:00,1024.30,56.0,51.2,83,0,,,,,,,
2024-09-17 12:30:00,1024.20,57.0,52.2,83,0,,,,,,,
2024-09-17 12:40:00,1024.20,57.0,52.2,84,,,1025.10,55.8,55.6,99,,
2024-09-17 12:45:00,1024.20,57.0,52.2,84,,,1025.10,55.8,55.6,99,,
2024-09-17 12:50:00,1024.20,57.0,52.2,84,,,1025.10,55.8,55.6,99,,
2024-09-17 12:55:00,1024.10,57.0,52.2,84,,,1025.10,55.8,55.6,99,,
2024-09-17 13:00:00,1024.10,57.0,52.2,83,0,,,,,,,
2024-09-17 13:15:00,1024.20,57.0,52.2,83,0,,,,,,,
2024-09-17 13:30:00,1024.10,58.0,53.2,83,0,,,,,,,
2024-09-17 13:45:00,1024.00,58.0,53.5,84,0,,,,,,,
2024-09-17 14:00:00,1024.00,58.0,53.5,84,0,,,,,,,
2024-09-17 14:15:00,1023.90,59.0,54.5,84,0,,,,,,,
2024-09-17 14:30:00,1023.80,59.0,54.5,84,0,,,,,,,
2024-09-17 14:45:00,1023.80,60.0,55.5,84,0,,,,,,,
2024-09-17 15:00:00,1023.60,61.0,56.5,84,0,,,,,,,
2024-09-17 15:15:00,1023.30,62.0,57.4,84,0,,,,,,,
2024-09-17 15:30:00,1023.40,63.0,58.4,84,0,,,,,,,
2024-09-17 15:45:00,1023.40,65.0,59.7,82,0,,,,,,,
2024-09-17 16:00:00,1023.10,67.0,60.3,78,0,,,,,,,
2024-09-17 16:15:00,1022.90,69.0,59.2,70,0,,,,,,,
2024-09-17 16:25:00,1022.70,70.0,59.8,69,0,,,,,,,
2024-09-17 16:45:00,1022.50,72.0,60.0,65,0,,,,,,,
2024-09-17 16:55:00,1022.50,72.0,57.8,60,0,,,,,,,
2024-09-17 17:16:00,1022.20,74.0,59.2,60,0,,,,,,,
2024-09-17 17:30:00,1022.10,76.0,60.1,58,0,,,,,,,
2024-09-17 17:45:00,1022.00,77.0,60.1,55,0,,,,,,,
2024-09-17 18:00:00,1021.80,79.0,60.9,53,0,,,,,,,
2024-09-17 18:15:00,1021.50,80.0,57.3,45,0,,,,,,,
2024-09-17 18:30:00,1021.50,80.0,56.1,43,0,,,,,,,
2024-09-17 18:45:00,1021.20,80.0,54.2,41,0,,,,,,,
2024-09-17 19:00:00,1021.10,81.0,56.4,43,0,,,,,,,
2024-09-17 19:15:00,1021.00,81.0,55.7,42,0,,,,,,,
2024-09-17 19:30:00,1021.00,81.0,52.2,37,0,,,,,,,
2024-09-17 19:45:00,1020.80,81.0,55.7,42,0,,,,,,,
2024-09-17 20:00:00,1020.70,80.0,52.8,38,0,,,,,,,
2024-09-17 20:15:00,1020.70,80.0,55.5,43,0,,,,,,,
2024-09-17 20:30:00,1020.70,79.0,57.0,46,0,,,,,,,
2024-09-17 20:45:00,1020.60,79.0,58.2,48,0,,,,,,,
2024-09-17 21:00:00,1020.50,79.0,57.0,46,0,,,,,,,
2024-09-17 21:15:00,1020.50,79.0,57.0,46,0,,,,,,,
2024-09-17 21:30:00,1020.50,79.0,56.4,46,0,,,,,,,
2024-09-17 21:45:00,1020.50,78.0,56.7,48,0,,,,,,,
2024-09-17 22:00:00,1020.60,78.0,57.8,49,0,,,,,,,
2024-09-17 22:15:00,1020.50,77.0,57.5,50,0,,,,,,,
2024-09-17 22:30:00,1020.50,76.0,58.1,53,0,,,,,,,
2024-09-17 22:45:00,1020.50,74.0,57.8,56,0,,,,,,,
2024-09-17 23:00:00,1020.50,73.0,58.3,60,0,,,,,,,
2024-09-17 23:15:00,1020.50,71.0,57.3,61,0,,,,,,,
2024-09-17 23:30:00,1020.50,69.0,56.3,63,0,,,,,,,
2024-09-17 23:45:00,1020.50,68.0,56.2,66,0,,,,,,,
2024-09-18 00:15:00,1020.50,65.0,54.6,68,0,,,,,,,
2024-09-18 00:30:00,1020.50,64.0,53.6,69,0,,,,,,,
2024-09-18 00:45:00,1020.50,64.0,54.4,70,0,,,,,,,
2024-09-18 01:00:00,1020.40,63.0,53.4,70,0,,,,,,,
2024-09-18 01:15:00,1020.40,62.0,53.6,73,0,,,,,,,
2024-09-18 01:30:00,1020.30,62.0,54.3,75,0,,,,,,,
2024-09-18 01:45:00,1020.30,61.0,53.4,76,0,,,,,,,
2024-09-18 02:00:00,1020.40,61.0,53.0,74,0,,,,,,,
