"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2024-09-15 19:16:00,1026.70,82.0,56.0,41,0,190,,,,,,
2024-09-15 19:30:00,1026.60,83.0,55.5,39,0,0,,,,,,
2024-09-15 19:45:00,1026.50,83.0,59.4,45,0,0,,,,,,
2024-09-15 20:00:00,1026.60,81.0,55.7,42,0,190,,,,,,
2024-09-15 20:15:00,1026.20,79.0,56.4,46,0,0,,,,,,
2024-09-15 20:30:00,1026.30,77.0,57.5,50,0,190,,,,,,
2024-09-15 20:46:00,1026.20,76.0,57.6,52,0,190,,,,,,
2024-09-15 21:00:00,1026.10,77.0,54.6,45,0,0,,,,,,
2024-09-15 21:15:00,1026.10,76.0,56.0,50,0,0,,,,,,
2024-09-15 21:30:00,1026.30,75.0,57.2,54,0,190,,,,,,
2024-09-15 21:46:00,1026.40,74.0,57.3,55,0,190,,,,,,
2024-09-15 22:00:00,1026.40,73.0,58.7,60,0,190,,,,,,
2024-09-15 22:30:00,1026.10,71.0,59.1,66,0,0,,,,,,
2024-09-15 22:45:00,1026.10,70.0,59.4,68,0,0,,,,,,
2024-09-15 23:00:00,1026.00,68.0,57.8,69,0,0,,,,,,
2024-09-15 23:30:00,1026.10,66.0,58.2,75,0,0,,,,,,
2024-09-15 23:46:00,1026.40,64.0,57.0,78,0,190,,,,,,
2024-09-16 00:15:00,1026.50,63.0,56.4,79,0,0,,,,,,
2024-09-16 00:30:00,1026.60,62.0,55.8,79,0,0,,,,,,
2024-09-16 00:46:00,1027.00,62.0,56.1,81,0,0,1027.54,63.2,54.4,73,,219
2024-09-16 01:00:00,1027.00,62.0,56.1,81,0,0,,,,,,
2024-09-16 01:15:00,1027.00,62.0,56.1,81,0,0,,,,,,
2024-09-16 01:30:00,1027.30,61.0,55.1,80,0,190,,,,,,
2024-09-16 01:45:00,1027.40,61.0,55.1,80,0,0,,,,,,
2024-09-16 01:46:00,1027.60,60.0,54.2,81,0,0,1028.17,60.8,53.0,75,,219
2024-09-16 02:00:00,1027.60,60.0,54.5,82,0,190,,,,,,
2024-09-16 02:15:00,1027.70,59.0,53.5,81,0,190,,,,,,
2024-09-16 02:30:00,1027.70,59.0,53.5,81,0,190,,,,,,
2024-09-16 02:45:00,1027.70,58.0,52.6,82,0,0,1028.04,56.6,51.9,84,,219
2024-09-16 03:00:00,1027.60,57.0,51.6,82,0,190,,,,,,
2024-09-16 03:15:00,1027.50,57.0,51.6,82,0,190,,,,,,
2024-09-16 03:30:00,1027.40,56.0,50.6,81,0,190,,,,,,
2024-09-16 03:45:00,1027.50,56.0,50.6,82,0,0,1027.92,56.0,50.8,82,,219
2024-09-16 04:00:00,1027.40,55.0,49.6,81,0,190,,,,,,
2024-09-16 04:15:00,1027.40,55.0,49.6,81,0,190,,,,,,
2024-09-16 04:30:00,1027.30,55.0,49.6,81,0,190,,,,,,
2024-09-16 04:45:00,1027.30,54.0,48.6,82,0,0,1027.85,54.2,49.3,83,,221
2024-09-16 05:00:00,1027.40,54.0,48.6,82,0,190,,,,,,
2024-09-16 05:15:00,1027.60,53.0,47.6,81,0,190,,,,,,
2024-09-16 05:30:00,1027.70,53.0,47.6,81,0,190,,,,,,
2024-09-16 05:45:00,1027.80,52.0,46.7,82,0,0,1028.15,52.2,47.9,85,,222
2024-09-16 06:00:00,1027.70,52.0,46.7,82,0,190,,,,,,
2024-09-16 06:15:00,1027.50,52.0,46.7,82,0,190,,,,,,
2024-09-16 06:30:00,1027.30,51.0,45.7,81,0,190,,,,,,
