"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2024-09-15 19:16:00,1027.00,80.0,61.8,54,0,360,,,,,,
2024-09-15 19:31:00,1026.90,79.0,62.9,58,0,360,,,,,,
2024-09-15 19:46:00,1026.80,78.0,62.0,57,0,360,,,,,,
2024-09-15 20:01:00,1026.70,77.0,60.6,56,0,360,,,,,,
2024-09-15 20:16:00,1026.60,77.0,61.1,57,0,360,,,,,,
2024-09-15 20:31:00,1026.50,77.0,61.1,57,0,360,,,,,,
2024-09-15 20:46:00,1026.40,76.0,62.9,63,0,360,,,,,,
2024-09-15 21:01:00,1026.40,75.0,62.0,64,0,360,,,,,,
2024-09-15 21:16:00,1026.40,75.0,62.4,65,0,360,,,,,,
2024-09-15 21:31:00,1026.40,74.0,62.8,67,0,360,,,,,,
2024-09-15 21:46:00,1026.60,74.0,64.0,70,0,360,,,,,,
2024-09-15 22:01:00,1026.60,73.0,63.8,72,0,360,,,,,,
2024-09-15 22:16:00,1026.60,72.0,64.8,77,0,360,,,,,,
2024-09-15 22:31:00,1026.60,71.0,64.5,80,0,360,,,,,,
2024-09-15 22:46:00,1026.50,70.0,63.9,80,0,360,,,,,,
2024-09-15 23:01:00,1026.50,69.0,64.0,83,0,360,,,,,,
2024-09-15 23:16:00,1026.40,68.0,64.0,87,0,360,,,,,,
2024-09-15 23:45:00,1026.70,66.0,63.0,90,0,360,,,,,,
2024-09-16 00:01:00,1026.90,65.0,62.3,90,0,360,,,,,,
2024-09-16 00:16:00,1027.00,65.0,62.6,91,0,360,,,,,,
2024-09-16 00:31:00,1027.00,64.0,61.6,91,0,360,,,,,,
2024-09-16 00:46:00,1027.20,64.0,61.9,92,0,0,1027.33,67.0,59.6,77,,220
2024-09-16 01:01:00,1027.30,63.0,60.9,92,0,360,,,,,,
2024-09-16 01:16:00,1027.40,62.0,60.2,93,0,360,,,,,,
2024-09-16 01:31:00,1027.50,62.0,60.2,93,0,360,,,,,,
2024-09-16 01:46:00,1027.80,61.0,59.2,93,0,0,1027.91,64.8,58.0,78,,221
2024-09-16 02:01:00,1027.80,61.0,59.3,94,0,360,,,,,,
2024-09-16 02:16:00,1027.90,60.0,58.6,94,0,360,,,,,,
2024-09-16 02:31:00,1028.00,60.0,58.6,94,0,360,,,,,,
2024-09-16 02:46:00,1028.00,59.0,57.5,94,0,0,1028.01,61.4,57.2,85,,220
2024-09-16 03:01:00,1027.90,59.0,57.6,95,0,360,,,,,,
2024-09-16 03:16:00,1027.90,58.0,56.6,94,0,360,,,,,,
2024-09-16 03:31:00,1027.90,58.0,56.6,94,0,360,,,,,,
2024-09-16 03:46:00,1027.80,58.0,56.8,95,0,0,1028.10,59.2,55.9,88,,217
2024-09-16 04:01:00,1027.80,57.0,55.9,96,0,360,,,,,,
2024-09-16 04:16:00,1027.80,57.0,55.9,96,0,360,,,,,,
2024-09-16 04:31:00,1027.80,56.0,54.9,95,0,360,,,,,,
2024-09-16 04:46:00,1027.80,56.0,54.8,95,0,0,1027.89,57.3,54.8,91,,221
2024-09-16 05:01:00,1027.90,55.0,53.9,96,0,360,,,,,,
2024-09-16 05:16:00,1028.00,55.0,53.9,96,0,360,,,,,,
2024-09-16 05:45:00,1028.10,54.0,52.9,95,0,0,1028.24,55.9,53.7,92,,220
2024-09-16 06:01:00,1028.10,54.0,52.9,95,0,360,,,,,,
2024-09-16 06:30:00,1027.70,53.0,51.9,96,0,360,,,,,,
2024-09-16 06:46:00,1027.70,53.0,51.9,95,0,0,1027.75,55.0,53.1,93,,220
2024-09-16 07:15:00,1027.80,52.0,51.2,96,0,360,,,,,,
2024-09-16 07:31:00,1027.80,52.0,50.9,95,0,360,,,,,,
2024-09-16 07:46:00,1027.90,51.0,49.9,95,0,0,1027.81,53.8,51.7,92,,220
2024-09-16 08:01:00,1027.90,51.0,50.2,97,0,360,,,,,,
2024-09-16 08:16:00,1027.90,51.0,50.2,97,0,360,,,,,,
2024-09-16 08:31:00,1027.80,50.0,49.2,96,0,360,,,,,,
2024-09-16 08:46:00,1027.80,50.0,49.1,96,0,0,1027.85,52.7,51.0,94,,220
2024-09-16 09:01:00,1027.90,50.0,49.2,96,0,360,,,,,,
2024-09-16 09:16:00,1027.90,50.0,49.2,96,0,360,,,,,,
2024-09-16 09:46:00,1028.00,49.0,48.2,96,0,0,1027.94,52.5,50.6,93,,220
2024-09-16 10:01:00,1028.10,49.0,48.2,96,0,360,,,,,,
2024-09-16 10:16:00,1028.20,48.0,47.2,97,0,360,,,,,,
2024-09-16 10:31:00,1028.40,48.0,47.2,97,0,360,,,,,,
2024-09-16 10:46:00,1028.50,48.0,47.2,96,0,0,1028.23,51.9,50.2,93,,220
2024-09-16 11:01:00,1028.50,48.0,47.2,97,0,360,,,,,,
2024-09-16 11:16:00,1028.70,48.0,47.2,97,0,360,,,,,,
2024-09-16 11:46:00,1028.90,50.0,49.4,97,0,0,1028.64,55.5,53.5,93,,220
2024-09-16 12:01:00,1028.80,51.0,50.5,97,0,360,,,,,,
2024-09-16 12:16:00,1028.80,52.0,51.5,97,0,360,,,,,,
2024-09-16 12:31:00,1028.90,53.0,52.5,98,0,360,,,,,,
2024-09-16 12:46:00,1029.00,54.0,53.4,97,0,0,1028.56,59.8,55.1,84,,220
2024-09-16 13:15:00,1028.80,56.0,55.4,97,0,360,,,,,,
2024-09-16 13:31:00,1028.90,57.0,56.4,98,0,360,,,,,,
2024-09-16 14:00:00,1028.60,59.0,58.1,97,0,360,,,,,,
2024-09-16 14:16:00,1028.50,61.0,59.9,96,0,360,,,,,,
2024-09-16 14:31:00,1028.50,63.0,60.6,91,0,360,,,,,,
2024-09-16 14:46:00,1028.40,65.0,60.0,83,0,360,,,,,,
2024-09-16 15:01:00,1028.20,67.0,58.4,73,0,360,,,,,,
2024-09-16 15:31:00,1028.10,71.0,62.7,74,0,360,,,,,,
2024-09-16 15:46:00,1027.90,72.0,61.7,70,0,360,,,,,,
2024-09-16 16:01:00,1027.70,72.0,61.7,70,0,360,,,,,,
2024-09-16 16:16:00,1027.50,74.0,61.5,64,0,360,,,,,,
2024-09-16 16:31:00,1027.20,74.0,59.7,60,0,360,,,,,,
2024-09-16 16:46:00,1027.20,75.0,61.5,62,0,360,,,,,,
2024-09-16 17:01:00,1027.00,76.0,61.6,60,0,360,,,,,,
2024-09-16 17:30:00,1026.50,78.0,57.3,48,0,360,,,,,,
2024-09-16 17:46:00,1026.20,78.0,57.8,49,0,360,,,,,,
2024-09-16 18:01:00,1025.90,78.0,54.9,44,0,360,,,,,,
2024-09-16 18:16:00,1025.80,78.0,57.3,48,0,360,,,,,,
2024-09-16 18:31:00,1025.50,78.0,53.7,43,0,360,,,,,,
2024-09-16 19:00:00,1025.20,79.0,51.2,37,0,360,,,,,,
2024-09-16 19:16:00,1025.00,79.0,53.3,40,0,360,,,,,,
2024-09-16 19:45:00,1024.90,78.0,54.9,44,0,360,,,,,,
2024-09-16 20:01:00,1024.80,77.0,56.9,49,0,360,,,,,,
2024-09-16 20:16:00,1024.70,76.0,59.1,55,0,360,,,,,,
2024-09-16 20:31:00,1024.50,76.0,58.6,55,0,360,,,,,,
2024-09-16 20:46:00,1024.60,75.0,59.7,58,0,360,,,,,,
2024-09-16 21:01:00,1024.60,74.0,58.3,58,0,360,,,,,,
2024-09-16 21:16:00,1024.50,74.0,60.6,63,0,360,,,,,,
2024-09-16 21:31:00,1024.50,73.0,61.0,65,0,360,,,,,,
2024-09-16 21:46:00,1024.40,72.0,62.5,72,0,360,,,,,,
2024-09-16 22:01:00,1024.40,71.0,62.7,74,0,360,,,,,,
2024-09-16 22:16:00,1024.50,70.0,62.1,76,0,360,,,,,,
2024-09-16 22:31:00,1024.50,69.0,61.8,77,0,360,,,,,,
2024-09-16 22:46:00,1024.60,68.0,61.6,79,0,360,,,,,,
2024-09-16 23:01:00,1024.50,66.0,60.7,82,0,360,,,,,,
2024-09-16 23:16:00,1024.60,65.0,60.7,85,0,360,,,,,,
2024-09-16 23:31:00,1024.60,64.0,60.4,87,0,360,,,,,,
2024-09-16 23:46:00,1024.70,63.0,59.7,88,0,360,,,,,,
2024-09-17 00:01:00,1024.90,62.0,59.0,89,0,360,,,,,,
2024-09-17 00:16:00,1025.00,61.0,58.4,90,0,360,,,,,,
2024-09-17 00:31:00,1025.00,60.0,57.7,92,0,360,,,,,,
2024-09-17 00:46:00,1025.20,60.0,57.6,91,0,0,1025.27,61.8,55.1,78,,220
2024-09-17 01:01:00,1025.30,59.0,57.0,93,0,360,,,,,,
2024-09-17 01:16:00,1025.40,58.0,56.3,93,0,360,,,,,,
2024-09-17 01:31:00,1025.40,58.0,56.3,93,0,360,,,,,,
2024-09-17 01:46:00,1025.50,57.0,55.2,93,0,0,1025.60,59.6,54.4,83,,220
2024-09-17 02:01:00,1025.50,56.0,54.3,94,0,360,,,,,,
2024-09-17 02:30:00,1025.60,56.0,54.6,95,0,360,,,,,,
2024-09-17 02:46:00,1025.50,55.0,53.6,94,0,0,1025.54,58.0,54.0,86,,220
2024-09-17 03:01:00,1025.60,55.0,53.6,94,0,360,,,,,,
2024-09-17 03:16:00,1025.50,54.0,52.6,95,0,360,,,,,,
2024-09-17 03:31:00,1025.50,54.0,52.6,95,0,360,,,,,,
2024-09-17 03:46:00,1025.50,54.0,52.9,95,0,0,1025.48,56.3,53.4,89,,220
2024-09-17 04:01:00,1025.50,53.0,51.9,96,0,360,,,,,,
2024-09-17 04:30:00,1025.50,53.0,51.9,96,0,360,,,,,,
2024-09-17 04:46:00,1025.50,52.0,50.9,95,0,0,1025.42,55.1,53.0,92,,220
2024-09-17 05:01:00,1025.40,52.0,50.9,95,0,360,,,,,,
2024-09-17 05:16:00,1025.50,51.0,49.9,96,0,360,,,,,,
2024-09-17 05:31:00,1025.50,51.0,49.9,96,0,360,,,,,,
2024-09-17 05:46:00,1025.60,51.0,49.9,95,0,0,1025.37,54.0,52.1,93,,220
2024-09-17 06:01:00,1025.60,50.0,48.9,95,0,360,,,,,,
2024-09-17 06:16:00,1025.50,50.0,48.9,95,0,360,,,,,,
2024-09-17 06:31:00,1025.40,50.0,48.9,95,0,360,,,,,,
2024-09-17 06:46:00,1025.40,50.0,48.9,95,0,0,1025.22,53.6,51.3,91,,220
2024-09-17 07:00:00,1025.20,50.0,48.9,95,0,360,,,,,,
2024-09-17 07:16:00,1025.10,50.0,49.2,96,0,360,,,,,,
2024-09-17 07:31:00,1025.10,49.0,47.9,96,0,360,,,,,,
2024-09-17 07:46:00,1025.00,49.0,48.2,96,0,0,1024.96,53.5,51.2,91,,220
2024-09-17 08:00:00,1025.00,49.0,47.9,96,0,360,,,,,,
2024-09-17 08:16:00,1025.00,49.0,48.2,96,0,360,,,,,,
2024-09-17 08:31:00,1025.00,49.0,48.2,96,0,360,,,,,,
2024-09-17 08:46:00,1025.00,48.0,47.2,96,0,0,1024.79,53.5,50.7,90,,220
2024-09-17 09:01:00,1025.00,49.0,48.2,96,0,360,,,,,,
2024-09-17 09:16:00,1025.10,49.0,48.2,96,0,360,,,,,,
2024-09-17 09:31:00,1025.10,50.0,49.2,96,0,360,,,,,,
2024-09-17 09:46:00,1025.00,50.0,49.1,96,0,0,1025.01,53.8,51.2,90,,220
2024-09-17 10:01:00,1025.00,50.0,49.2,96,0,360,,,,,,
2024-09-17 10:30:00,1025.20,51.0,50.2,97,0,360,,,,,,
2024-09-17 10:46:00,1025.20,51.0,50.1,96,0,0,1025.19,54.1,51.4,90,,219
2024-09-17 11:01:00,1025.40,52.0,51.2,96,0,360,,,,,,
2024-09-17 11:16:00,1025.50,52.0,51.2,96,0,360,,,,,,
2024-09-17 11:31:00,1025.50,53.0,52.5,98,0,360,,,,,,
2024-09-17 11:46:00,1025.60,53.0,52.4,97,0,0,1025.35,55.7,52.8,89,,220
2024-09-17 12:00:00,1025.40,54.0,53.5,98,0,360,,,,,,
2024-09-17 12:16:00,1025.40,54.0,53.5,98,0,360,,,,,,
2024-09-17 12:45:00,1025.40,55.0,54.4,97,0,0,1025.30,58.0,55.1,90,,220
2024-09-17 13:01:00,1025.30,56.0,55.4,97,0,360,,,,,,
2024-09-17 13:30:00,1025.30,56.0,55.4,97,0,360,,,,,,
2024-09-17 13:46:00,1025.10,56.0,55.4,97,0,360,,,,,,
2024-09-17 14:15:00,1025.00,58.0,57.4,98,0,360,,,,,,
2024-09-17 14:31:00,1024.60,60.0,59.1,96,0,360,,,,,,
2024-09-17 14:46:00,1024.60,62.0,60.5,95,0,360,,,,,,
2024-09-17 15:01:00,1024.70,63.0,60.3,91,0,360,,,,,,
2024-09-17 15:16:00,1024.40,64.0,60.0,87,0,360,,,,,,
2024-09-17 15:31:00,1024.40,65.0,60.0,83,0,360,,,,,,
2024-09-17 15:46:00,1024.20,66.0,60.7,82,0,360,,,,,,
2024-09-17 16:01:00,1024.00,68.0,61.2,78,0,360,,,,,,
2024-09-17 16:16:00,1023.80,69.0,61.5,77,0,360,,,,,,
2024-09-17 16:31:00,1023.70,69.0,61.5,77,0,360,,,,,,
2024-09-17 16:46:00,1023.60,69.0,61.1,75,0,360,,,,,,
2024-09-17 17:01:00,1023.30,71.0,61.5,72,0,360,,,,,,
2024-09-17 17:16:00,1023.30,72.0,60.9,68,0,360,,,,,,
2024-09-17 17:31:00,1023.20,72.0,62.1,71,0,360,,,,,,
2024-09-17 17:46:00,1023.10,73.0,63.4,71,0,360,,,,,,
2024-09-17 18:01:00,1023.00,74.0,61.9,65,0,15,,,,,,
2024-09-17 18:16:00,1022.80,75.0,62.9,65,0,17,,,,,,
2024-09-17 18:31:00,1022.50,76.0,63.8,65,0,24,,,,,,
2024-09-17 18:46:00,1022.20,75.0,63.7,67,0,28,,,,,,
2024-09-17 19:01:00,1022.10,75.0,64.9,70,0,27,,,,,,
2024-09-17 19:16:00,1022.10,74.0,65.2,73,0,28,,,,,,
2024-09-17 19:31:00,1022.00,74.0,64.4,71,0,27,,,,,,
2024-09-17 19:46:00,1022.00,74.0,64.4,71,0,27,,,,,,
2024-09-17 20:15:00,1021.80,73.0,63.4,71,0,28,,,,,,
2024-09-17 20:31:00,1021.80,73.0,64.6,74,0,27,,,,,,
2024-09-17 21:00:00,1021.70,73.0,64.6,74,0,28,,,,,,
2024-09-17 21:16:00,1021.60,72.0,63.2,74,0,28,,,,,,
2024-09-17 21:31:00,1021.60,71.0,63.4,76,0,28,,,,,,
2024-09-17 22:00:00,1021.70,69.0,63.3,82,0,27,,,,,,
2024-09-17 22:16:00,1021.60,68.0,63.6,86,0,360,,,,,,
2024-09-17 22:31:00,1021.60,67.0,63.3,87,0,360,,,,,,
2024-09-17 22:46:00,1021.60,66.0,62.7,88,0,26,,,,,,
2024-09-17 23:01:00,1021.70,65.0,62.3,90,0,28,,,,,,
