"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2024-09-15 19:26:00,1029.00,75.0,63.7,67,0,150,,,,,,
2024-09-15 19:41:00,1029.10,75.0,62.9,65,0,242,,,,,,
2024-09-15 19:56:00,1028.80,74.0,62.3,66,2,264,,,,,,
2024-09-15 20:11:00,1028.90,75.0,62.4,65,0,2,,,,,,
2024-09-15 20:26:00,1028.80,75.0,61.5,62,1,262,,,,,,
2024-09-15 20:41:00,1028.60,74.0,61.9,65,1,31,,,,,,
2024-09-15 20:57:00,1028.70,75.0,63.3,66,0,107,,,,,,
2024-09-15 21:12:00,1029.10,75.0,63.3,66,0,309,,,,,,
2024-09-15 21:27:00,1028.70,75.0,62.4,65,2,15,,,,,,
2024-09-15 21:42:00,1028.90,74.0,63.6,70,0,289,,,,,,
2024-09-15 21:57:00,1029.10,71.0,63.0,75,0,309,,,,,,
2024-09-15 22:12:00,1028.80,69.0,62.2,79,0,29,,,,,,
2024-09-15 22:27:00,1028.90,68.0,61.9,80,0,45,,,,,,
2024-09-15 22:42:00,1028.90,66.0,60.7,82,1,32,,,,,,
2024-09-15 22:58:00,1028.80,65.0,60.4,84,0,59,,,,,,
2024-09-15 23:13:00,1028.80,64.0,60.0,87,0,49,,,,,,
2024-09-15 23:28:00,1028.90,63.0,59.4,87,1,36,,,,,,
2024-09-15 23:43:00,1028.60,63.0,60.0,90,1,31,,,,,,
2024-09-15 23:58:00,1028.80,62.0,59.0,89,1,33,,,,,,
2024-09-16 00:13:00,1028.90,62.0,59.0,89,1,54,,,,,,
2024-09-16 00:28:00,1028.90,62.0,58.7,89,1,37,,,,,,
2024-09-16 00:44:00,1029.20,62.0,58.4,87,1,44,1028.28,59.8,55.6,86,,249
2024-09-16 00:49:00,1028.80,62.0,58.7,88,0,0,1028.03,59.8,55.6,86,,217
2024-09-16 00:54:00,1028.90,62.0,58.4,87,0,0,1028.27,59.8,55.6,86,,216
2024-09-16 00:59:00,1028.80,62.0,58.4,87,1,41,1029.29,59.8,55.6,86,,249
2024-09-16 01:14:00,1029.00,61.0,57.4,88,0,65,,,,,,
2024-09-16 01:29:00,1028.90,62.0,58.4,87,0,57,,,,,,
2024-09-16 01:44:00,1029.10,62.0,58.7,88,0,0,1028.20,58.5,54.1,85,155.1,98
2024-09-16 01:49:00,1028.90,62.0,58.7,88,0,0,1028.20,58.5,54.1,85,155.1,98
2024-09-16 01:54:00,1028.90,61.0,57.7,88,0,40,1028.20,58.5,54.0,85,,249
2024-09-16 01:59:00,1029.00,61.0,57.7,88,0,0,1028.38,58.5,54.0,85,,216
2024-09-16 02:15:00,1029.10,61.0,58.0,89,0,66,,,,,,
2024-09-16 02:30:00,1029.00,61.0,58.4,90,0,47,,,,,,
2024-09-16 02:40:00,1029.30,61.0,58.6,91,0,49,1028.47,57.7,52.9,84,,31
2024-09-16 02:45:00,1029.50,60.0,57.6,91,0,68,1028.47,57.7,52.9,84,,249
2024-09-16 02:50:00,1029.10,60.0,57.6,91,0,0,1028.47,57.7,52.9,84,,216
2024-09-16 02:55:00,1029.10,60.0,57.6,91,0,0,1028.57,57.7,52.9,84,,216
2024-09-16 03:00:00,1028.90,61.0,58.4,90,1,59,,,,,,
2024-09-16 03:15:00,1029.00,60.0,58.0,93,0,48,,,,,,
2024-09-16 03:30:00,1028.80,60.0,58.3,94,0,62,,,,,,
2024-09-16 03:40:00,1028.80,59.0,57.8,95,0,0,1028.25,56.0,51.5,84,,216
2024-09-16 03:45:00,1028.80,59.0,58.1,96,0,52,1028.25,56.0,51.5,84,,248
2024-09-16 03:50:00,1028.60,58.0,57.1,96,0,0,1028.25,56.0,51.5,84,,216
2024-09-16 03:55:00,1028.90,58.0,57.4,97,0,0,1028.31,56.0,51.5,84,,216
2024-09-16 04:01:00,1028.90,58.0,57.4,98,0,31,,,,,,
2024-09-16 04:11:00,1028.80,57.0,56.4,98,0,55,,,,,,
2024-09-16 04:26:00,1028.60,57.0,56.7,98,0,61,,,,,,
2024-09-16 04:41:00,1028.70,57.0,56.7,98,0,66,1028.13,55.0,50.9,86,,249
2024-09-16 04:46:00,1028.80,57.0,56.7,98,1,35,1028.13,55.0,50.9,86,,249
2024-09-16 04:51:00,1028.60,57.0,56.7,98,0,55,1028.13,55.0,50.9,86,,249
2024-09-16 04:56:00,1028.60,57.0,56.7,98,1,48,1028.19,55.0,50.9,86,,249
2024-09-16 05:11:00,1028.70,57.0,56.7,98,0,57,,,,,,
2024-09-16 05:26:00,1028.80,58.0,57.7,99,0,81,,,,,,
2024-09-16 05:41:00,1028.60,58.0,57.7,98,1,56,1028.24,54.6,53.3,95,,249
2024-09-16 05:46:00,1028.70,58.0,57.7,98,1,47,1028.24,54.6,53.3,95,,249
2024-09-16 05:52:00,1028.40,57.0,56.7,98,0,36,1028.24,54.6,50.3,85,,249
2024-09-16 05:57:00,1028.70,57.0,56.7,98,1,45,1028.27,54.6,50.3,85,,249
2024-09-16 06:12:00,1028.30,57.0,56.7,98,0,54,,,,,,
2024-09-16 06:27:00,1028.30,57.0,56.7,98,0,55,,,,,,
2024-09-16 06:42:00,1028.60,58.0,57.7,98,0,51,1027.98,54.2,53.3,96,,249
2024-09-16 06:47:00,1028.20,58.0,57.7,98,0,46,1027.98,54.2,52.9,95,,249
2024-09-16 06:52:00,1028.10,58.0,57.7,98,0,51,1027.98,54.2,52.9,95,,249
2024-09-16 06:57:00,1028.10,58.0,57.7,98,1,36,1027.97,54.2,52.9,95,,249
2024-09-16 07:12:00,1028.20,57.0,56.7,98,0,55,,,,,,
2024-09-16 07:27:00,1028.20,57.0,56.7,98,0,50,,,,,,
2024-09-16 07:42:00,1028.30,57.0,56.7,98,0,55,1028.08,53.6,53.2,98,173.8,94
2024-09-16 07:47:00,1028.20,57.0,56.7,98,0,45,1028.08,53.6,52.6,96,,249
2024-09-16 07:52:00,1028.20,57.0,56.7,98,1,33,1028.08,53.6,52.8,96,,249
2024-09-16 07:57:00,1028.10,57.0,56.7,98,0,57,1028.02,53.6,52.6,96,,249
2024-09-16 08:13:00,1028.30,57.0,56.4,98,0,52,,,,,,
2024-09-16 08:28:00,1028.20,57.0,56.4,98,0,58,,,,,,
2024-09-16 08:43:00,1028.40,57.0,56.7,98,1,40,1028.11,52.7,51.9,96,,248
2024-09-16 08:48:00,1028.00,57.0,56.4,97,1,47,1028.11,52.7,51.5,95,,249
2024-09-16 08:53:00,1028.30,57.0,56.4,97,1,48,1028.11,52.7,51.5,95,,249
2024-09-16 08:58:00,1028.30,56.0,55.7,98,1,45,1028.02,52.7,51.5,95,,249
2024-09-16 09:13:00,1028.40,57.0,56.7,98,1,56,,,,,,
2024-09-16 09:28:00,1028.40,57.0,56.7,98,1,51,,,,,,
2024-09-16 09:43:00,1028.30,57.0,56.4,97,1,31,1028.35,52.0,51.1,96,109.3,134
2024-09-16 09:48:00,1028.60,56.0,55.7,98,1,30,1028.35,52.0,50.9,96,,249
2024-09-16 09:53:00,1028.40,56.0,55.7,98,2,31,1028.35,52.0,50.9,96,,249
2024-09-16 09:59:00,1028.40,56.0,55.7,98,1,47,1028.48,52.0,50.9,96,,249
2024-09-16 10:14:00,1028.40,56.0,55.7,98,1,39,,,,,,
2024-09-16 10:29:00,1028.70,56.0,55.7,98,1,37,,,,,,
2024-09-16 10:44:00,1029.00,57.0,56.7,98,2,39,1028.62,51.1,50.8,98,,248
2024-09-16 10:49:00,1029.00,57.0,56.4,97,2,39,1028.62,51.1,50.8,98,,249
2024-09-16 10:54:00,1028.90,57.0,56.4,97,2,44,1028.62,51.6,50.8,97,,249
2024-09-16 10:59:00,1029.10,57.0,56.7,98,2,37,1028.56,51.6,50.8,97,,249
2024-09-16 11:14:00,1029.00,57.0,56.4,98,2,34,,,,,,
2024-09-16 11:29:00,1029.10,57.0,56.4,98,1,44,,,,,,
2024-09-16 11:44:00,1029.10,58.0,57.4,97,0,41,1028.95,53.6,53.0,98,,248
2024-09-16 11:49:00,1029.10,58.0,57.4,97,0,55,1028.95,53.6,52.9,97,,249
2024-09-16 11:54:00,1029.30,58.0,57.1,96,0,47,1028.95,53.6,52.8,97,,249
2024-09-16 11:59:00,1029.50,59.0,58.1,96,1,44,1028.92,53.6,52.8,97,,249
2024-09-16 12:14:00,1029.20,59.0,58.1,97,0,61,,,,,,
2024-09-16 12:30:00,1029.30,60.0,58.3,94,0,102,,,,,,
2024-09-16 12:40:00,1029.40,61.0,59.2,93,0,0,1028.95,60.4,52.4,74,,220
2024-09-16 12:45:00,1029.10,61.0,59.2,93,0,0,1028.96,59.0,53.9,82,,217
2024-09-16 12:50:00,1029.40,62.0,59.9,92,0,93,1028.95,59.0,53.9,82,173.8,94
