time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-09-13 00:00:00,13.3,12.2,93,0,,0,0,,1025,,5
2024-09-13 01:00:00,13.3,12.2,93,0,,0,0,,1025,,5
2024-09-13 02:00:00,11.7,11.1,96,0,,0,0,,1025,,5
2024-09-13 03:00:00,11.7,11.1,96,0,,0,0,,1025,,5
2024-09-13 04:00:00,11.7,11.1,96,0,,0,0,,1025,,5
2024-09-13 05:00:00,11,10.4,96,0,,119,4.7,,1025,,5
2024-09-13 06:00:00,10.6,10,96,0,,0,0,,1025,,5
2024-09-13 07:00:00,12.2,11.7,97,0,,0,0,,1023.9,,5
2024-09-13 08:00:00,15,13.9,93,0,,0,0,,1023.8,,5
2024-09-13 09:00:00,18.3,15,81,0,,0,0,,1023.9,,1
2024-09-13 10:00:00,22.2,15.5,66,0,,0,0,,1023.2,,1
2024-09-13 11:00:00,24,15.8,60,0,,300,6,,1025,,1
2024-09-13 12:00:00,25,15.6,56,0,,310,7.6,,1022.5,,1
2024-09-13 13:00:00,26.1,14.9,50,0,,270,11.2,,1021.8,,1
2024-09-13 14:00:00,26.1,14.9,50,0,,290,11.2,,1021.4,,1
2024-09-13 15:00:00,25.6,15,52,0,,315,5.4,,1021.2,,1
2024-09-13 16:00:00,26,15.4,52,0,,320,9,,1023,,1
2024-09-13 17:00:00,25,13.9,50,0,,320,7.6,,1021.6,,1
2024-09-13 18:00:00,21.7,13.9,61,0,,0,0,,1021.9,,1
2024-09-13 19:00:00,18.3,14.4,78,0,,0,0,,1022.2,,1
2024-09-13 20:00:00,17,14.3,84,0,,21,6.5,,1024,,1
2024-09-13 21:00:00,16.7,14,84,0,,0,0,,1022.7,,1
2024-09-13 22:00:00,15,13.4,90,0,,56,8.3,,1025,,1
2024-09-13 23:00:00,14.4,13.3,93,0,,0,0,,1022.9,,1
2024-09-14 00:00:00,13,12.5,97,0,,49,8.6,,1025,,5
2024-09-14 01:00:00,13.3,12.8,97,0,,0,0,,1025,,5
2024-09-14 02:00:00,12.8,12.2,96,0,,0,0,,1025,,5
2024-09-14 03:00:00,12.8,11.7,93,0,,0,0,,1022.3,,5
2024-09-14 04:00:00,12.2,11.7,97,0,,0,0,,1025,,5
2024-09-14 05:00:00,11,10.5,97,0,,66,7.9,,1025,,5
2024-09-14 06:00:00,11.7,11.7,100,0,,0,0,,1025,,5
2024-09-14 07:00:00,13.9,13.3,96,0,,0,0,,1024.2,,5
2024-09-14 08:00:00,17.8,15.1,84,0,,0,0,,1024.3,,1
2024-09-14 09:00:00,21.7,15.5,68,0,,0,0,,1024.4,,1
2024-09-14 10:00:00,23.9,16.2,62,0,,60,5.4,,1024.3,,1
2024-09-14 11:00:00,25.6,16.2,56,0,,84,9.4,,1024,,1
2024-09-14 12:00:00,26,14.8,50,0,,170,7,,1026,,1
2024-09-14 13:00:00,27,14.7,47,0,,91,7,,1026,,1
2024-09-14 14:00:00,26.7,13.4,44,0,,0,0,,1022.8,,1
2024-09-14 15:00:00,26.1,13.9,47,0,,0,0,,1022.8,,1
2024-09-14 16:00:00,26,13.8,47,0,,98,6,,1025,,2
2024-09-14 17:00:00,23.3,16.8,67,0,,0,0,,1023.4,,1
2024-09-14 18:00:00,20.6,15.6,73,0,,0,0,,1023.8,,2
2024-09-14 19:00:00,18.3,14,76,0,,0,0,,1024.5,,1
2024-09-14 20:00:00,16.1,13.9,87,0,,0,0,,1024.6,,1
2024-09-14 21:00:00,16,14.4,90,0,,86,7.2,,1027,,1
2024-09-14 22:00:00,13.9,13.3,96,0,,0,0,,1024.8,,1
2024-09-14 23:00:00,14,12.9,93,0,,103,10.4,,1027,,1
2024-09-15 00:00:00,14,13.4,96,0,,97,11.5,,1027,,5
2024-09-15 01:00:00,13.9,13.3,96,0,,0,0,,1027,,5
2024-09-15 02:00:00,13.3,12.8,97,0,,0,0,,1027,,5
2024-09-15 03:00:00,12.2,11.7,97,0,,0,0,,1025,,5
2024-09-15 04:00:00,12,11.5,97,0,,100,9.4,,1027,,5
2024-09-15 05:00:00,12.8,12.2,96,0,,0,0,,1028,,5
2024-09-15 06:00:00,12.2,11.7,97,0,,0,0,,1026.9,,5
2024-09-15 07:00:00,14.4,13.9,97,0,,0,0,,1027.3,,5
2024-09-15 08:00:00,15.8,14.5,92,0,,101,6.8,,1028.4,,5
2024-09-15 09:00:00,20,15.6,76,0,,111,5.4,,1027.4,,1
2024-09-15 10:00:00,22,16.5,71,0,,138,4.3,,1029,,1
2024-09-15 11:00:00,23.9,16.7,64,0,,0,0,,1026.7,,1
2024-09-15 12:00:00,25.6,16.2,56,0,,0,0,,1026.3,,1
2024-09-15 13:00:00,25.6,16.2,56,0,,99,7.6,,1025.7,,2
2024-09-15 14:00:00,25,16.2,58,0,,130,5.4,,1025.4,,3
2024-09-15 15:00:00,24,15.8,60,0,,140,9,,1027,,3
2024-09-15 16:00:00,23.9,16.2,62,0,,130,11.2,,1025.1,,3
2024-09-15 17:00:00,23.3,15.6,62,0,,150,9.4,,1025.3,,3
