id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
74410,Barkerville,US,MA,74410,KPSF,42.42,-73.28,364.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-25,2006-01-01,2022-01-01,3770.579319109066
KAQW0,North Adams / Blackinton,US,MA,,KAQW,42.6962,-73.1702,199.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-23,2006-01-01,2022-01-01,32444.33153766743
72518,Albany International Airport,US,NY,72518,KALB,42.75,-73.1333,87.0,America/New_York,1946-01-01,2024-09-27,1938-06-01,2024-12-30,1938-01-01,2022-01-01,38898.79878738882
KBAF0,Westfield / Owen District,US,MA,,KBAF,42.1577,-72.7156,82.0,America/New_York,1973-01-05,2024-09-27,1998-08-08,2022-04-24,2005-01-01,2022-01-01,51149.29650991317
TMT7J,Bennington Morse State Airport,US,VT,,KDDH,42.8935,-73.2486,252.0,America/New_York,2022-04-23,2024-09-27,,,,,53930.44150957824
74491,Chicopee Falls / Westover Air Force Base,US,MA,74491,KCEF,42.2,-72.5333,75.0,America/New_York,1941-04-01,2024-09-27,1941-06-06,2022-04-25,1941-01-01,2021-01-01,62326.0513829364
74484,"West Dover, Vt.",US,NY,74484,KN66,42.9333,-72.8667,0.0,America/New_York,2022-05-06,2024-09-27,,,,,65724.70854574419
72508,Bradley International Airport,US,CT,72508,KBDL,41.9333,-72.6833,53.0,America/New_York,1941-09-12,2024-09-27,1942-01-08,2024-12-30,1942-01-01,2022-01-01,69808.42497673265
KSCH0,Schenectady / Stoodley Corners,US,NY,,KSCH,42.8525,-73.9289,115.0,America/New_York,1981-04-21,2024-09-26,,,,,75119.3261974064
KORE0,Orange / Partridgeville,US,MA,,KORE,42.5701,-72.2886,169.0,America/New_York,1996-08-09,2024-09-27,1996-08-11,2022-04-24,2005-01-01,2022-01-01,79791.98944745651
K44N0,Millbrook / Moores Mill,US,NY,,K44N,41.7074,-73.738,213.0,America/New_York,1989-07-14,1996-02-14,,,,,88267.57011730217
KHFD0,Hartford / Colonial Mobile Home Park,US,CT,,KHFD,41.7367,-72.6494,6.0,America/New_York,1974-01-01,2024-09-27,1979-06-22,2022-04-24,2005-01-01,2022-01-01,89059.52104748777
KEEN0,Keene / Spragueville,US,NH,,KEEN,42.8984,-72.2708,149.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-24,2007-01-01,2022-01-01,95951.93613364417
KPOU0,Poughkeepsie  /  New Hackensack,US,NY,,KPOU,41.6266,-73.8842,50.0,America/New_York,1973-01-01,2024-09-27,1973-01-04,2022-04-24,1974-01-01,2022-01-01,102083.65351815424
KOXC0,Oxford / Southford,US,CT,,KOXC,41.4786,-73.1352,221.0,America/New_York,2006-01-01,2024-09-27,2006-01-14,2022-04-24,2007-01-01,2022-01-01,103748.50690388345
KMMK0,Meriden / South Meriden,US,CT,,KMMK,41.5087,-72.8295,31.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-24,2006-01-01,2021-01-01,105575.2670543892
72522,Glens Falls / Dix Mobile Home Park,US,NY,72522,KGFL,43.3412,-73.6103,100.0,America/New_York,1973-01-01,2024-09-27,1944-05-01,2024-12-30,1944-01-01,2022-01-01,108078.3798832536
KAFN0,Jaffrey,US,NH,,KAFN,42.8051,-72.003,317.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-24,2006-01-01,2022-01-01,110178.02761751159
KNY00,Johnstown / Hale Mills,US,NY,,KNY0,42.9982,-74.3296,269.0,America/New_York,2020-01-14,2024-09-27,2020-01-14,2022-04-24,2020-01-01,2022-01-01,110783.1299554795
72510,Worcester / West Tatnuck,US,MA,72510,KORH,42.2673,-71.8757,308.0,America/New_York,1973-01-01,2024-09-27,1948-06-01,2024-12-30,1948-01-01,2022-01-01,112966.52324236115
KIJD0,Willimantic / Mansfield Hollow,US,CT,,KIJD,41.744,-72.1802,75.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-24,2006-01-01,2021-01-01,114300.80582957384
KDXR0,Danbury / Miry Brook,US,CT,,KDXR,41.3715,-73.4822,139.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-24,2006-01-01,2021-01-01,117092.83428719325
KVSF0,Springfield / Kendricks Corner,US,VT,,KVSF,43.3436,-72.5173,176.0,America/New_York,2006-01-01,2024-09-27,2006-01-01,2022-04-20,2006-01-01,2021-01-01,119359.19546777998
